id;name;description;country;release_date;income;rating
1;Checking Account parsing;Strategist calculating;Mauritius;2020-05-07T07:21:34;21908;41801
2;collaboration;Austria;Vietnam;2020-05-07T17:41:16;32856;33501
3;Home Loan Account;Honduras UAE Dirham deposit;United States Minor Outlying Islands;2020-05-07T00:16:00;74647;62684
4;Money Market Account programming;Handcrafted Frozen Bacon pricing structure;Timor-Leste;2020-05-07T19:09:07;32019;18130
5;Avon Personal Loan Account Northern Mariana Islands;Future Czech Republic Rubber;Cocos (Keeling) Islands;2020-05-07T16:09:38;76293;3127
6;Investment Account Fully-configurable Bacon;Tanzanian Shilling Small Frozen Shirt;Israel;2020-05-07T01:10:55;67062;71654
7;Senior bus;virtual;Japan;2020-05-06T22:47:09;62995;71102
8;Forint maroon;supply-chains;Venezuela;2020-05-07T00:27:15;17764;96998
9;Industrial Dynamic;card;Bahamas;2020-05-07T19:09:39;37377;82618
10;SQL even-keeled Wooden;Assimilated Knoll;Micronesia;2020-05-07T06:06:28;7472;10149
